Date,Confirmed,Suspected,Recovered,Deaths,Severe
20200225, 78064, 2491,29745, 2715, 8752
20200224, 77658, 2824,27323, 2663, 9126
20200223, 77150, 3434,24734, 2592, 9915
20200222, 76741, 4148,22888, 2442, 10968
20200221, 76288, 5365,20658, 2345, 11477
20200220, 75891, 5206,18266, 2236, 11633
20200219, 75002, 4922,16157, 2118, 11864
20200218, 74182, 5248,14376, 2004, 11977
20200217, 72436, 6242,12552, 1868, 11741
20200216, 70550, 7264,10851, 1770, 10644
20200215, 68500, 8228, 9419, 1665, 11272
20200214, 66491, 8969, 8096, 1523, 11053
20200213, 63851, 10109, 6723, 1380, 10204
20200212, 58761, 13435, 5642, 1259, 8030
20200211, 44653, 16067, 4740, 1113, 8204

20200210, 42638, 21675, 3996, 1016, 7333
20200209, 40170, 23589, 3280, 908, 6484
20200208, 37109, 28942, 2649, 811, 6188
20200207, 34542, 27657, 2049, 722, 6101
20200206, 31147, 26359, 1540, 636, 4821
20200205, 28018, 24702, 1153, 563, 3859
20200204, 24324, 23260, 892, 490, 3219
20200203, 20437, 23214, 630, 425, 2788
20200202, 17203, 21558, 475, 361, 2296
20200201, 14376, 19544, 328, 304, 2110

20200131, 11790, 17988, 243, 259, 1795
20200130, 9689, 15238, 171, 213, 1527
20200129, 7710, 12167, 124, 170, 1370
20200128, 5974, 9239, 103, 132, 1239
20200127, 4515, 6973, 60, 106, 976
20200126, 2744, 5794, 51, 80, 461
20200125, 1975, 2684, 49, 56, 324
20200124, 1287, 1965, 38, 41, 237

20200123, 830, 1072, 34, 25, 177

20200122, 571, 393, 28, 17, 95
20200121, 440, 136, 28, 9, 102
20200120, 291, 54, 25, 6, 63

20200119, 214, 27, 25, 4, 44
20200118, 121, 0, 24, 3, 0
20200117, 62, 0, 19, 2, 8
20200116, 45, 0, 15, 2, 5
20200115, 41, 0, 12, 2, 5
20200114, 41, 0, 7, 1, 6
20200113, 41, 0, 7, 1, 6
20200112, 41, 0, 7, 1, 6
20200111, 41, 0, 6, 1, 7
20200110, 41, 0, 2, 1, 7
20200109, 0, 0, 0, 0, 0
